Site,Longitude(x),Latitude(y),BIO1_Annual_mean_temperature,BIO7_Temperature_annual_range,BIO12_Annual_precipitation,BIO17_Precipitation_of_driest_quarter,Albany_thicket,Coastal_belt,Desert,Forest,Fynbos,Nama_Karoo,Savanna,Succulent_Karoo,AB_Unmodified_largely_natural_river,C_Moderately_modified_river_condition,D_Largely_modified_river_condition,EF_Extremely_modified_river_condition,Z_River_condition_no_longer_intact,Human_population_density ,Sampling_effort 
595,19.13,-33.38,17.02,23.60,534.00,51.50,0.00,0.00,0.00,0.00,0.98,0.00,0.00,0.00,1203.08,1448.05,8497.81,0.00,900.54,9.35,21.00
596,19.38,-33.38,16.52,26.50,464.00,50.00,0.00,0.00,0.00,0.00,0.98,0.00,0.00,0.00,1394.99,6341.65,4526.78,0.00,0.00,8.00,121.00
597,19.63,-33.38,10.01,22.05,476.25,85.75,0.00,0.00,0.00,0.00,0.98,0.00,0.00,0.00,522.88,919.49,941.38,0.00,57.66,2.16,13.00
599,21.38,-33.38,12.18,23.60,347.00,72.00,0.00,0.00,0.00,0.00,0.84,0.00,0.00,0.14,617.31,26.80,0.00,0.00,60.14,0.37,54.00
601,22.13,-33.38,14.69,23.70,293.00,54.00,0.09,0.00,0.00,0.00,0.85,0.00,0.00,0.04,1021.59,0.00,68.86,0.00,1082.29,5.79,35.00
609,26.63,-33.38,18.20,19.53,645.75,101.50,0.46,0.00,0.00,0.00,0.19,0.00,0.36,0.00,2448.95,256.02,6278.50,0.00,0.00,5.41,60.00
610,26.88,-33.38,18.14,18.53,667.25,104.50,0.80,0.00,0.00,0.00,0.07,0.00,0.15,0.00,434.61,1331.71,5541.73,0.00,1027.65,2.66,14.00
614,18.88,-33.63,17.91,23.23,618.00,56.25,0.00,0.00,0.00,0.00,0.98,0.00,0.00,0.00,48.38,1649.10,8396.98,0.00,4170.44,33.64,30.00
615,19.13,-33.63,13.58,20.25,617.75,73.50,0.00,0.00,0.00,0.00,0.98,0.00,0.00,0.00,600.74,2321.91,7752.82,0.00,0.00,13.81,337.00
616,19.38,-33.63,17.46,24.10,601.75,58.00,0.00,0.00,0.00,0.00,0.98,0.00,0.00,0.06,1039.09,45.11,6022.10,0.00,26.03,24.96,87.00
618,19.88,-33.63,13.50,25.43,373.00,59.25,0.00,0.00,0.00,0.00,0.98,0.00,0.00,0.02,1383.45,1218.36,612.54,0.00,1514.04,0.85,10.00
622,22.13,-33.63,17.86,25.40,306.25,69.50,0.39,0.00,0.00,0.00,0.02,0.00,0.00,0.57,669.62,1351.16,3260.96,0.00,4469.02,16.98,11.00
626,24.63,-33.63,16.15,20.87,531.25,97.75,0.43,0.00,0.00,0.00,0.58,0.00,0.00,0.00,986.72,8895.13,13319.22,2626.01,78.09,0.13,33.00
631,26.63,-33.63,18.68,17.52,654.50,121.75,0.81,0.00,0.00,0.00,0.00,0.00,0.03,0.00,4629.44,303.71,6278.50,0.00,0.00,2.42,56.00
633,18.38,-33.88,16.70,14.78,538.75,47.00,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,98.09,15435.14,4670.52,27.11,0.00,8087.67,109.00
634,18.63,-33.88,17.18,19.35,630.75,54.50,0.00,0.00,0.00,0.00,0.98,0.00,0.00,0.00,108.05,9291.78,9058.78,6692.55,230.96,1259.39,42.00
635,18.88,-33.88,16.48,20.90,787.50,72.75,0.00,0.00,0.00,0.00,0.98,0.00,0.00,0.00,48.38,7223.74,4627.79,0.00,54.23,48.90,105.00
636,19.13,-33.88,13.91,20.70,718.75,81.25,0.00,0.00,0.00,0.00,0.98,0.00,0.00,0.00,1736.34,1345.52,280.84,0.00,67.80,3.77,271.00
637,19.38,-33.88,16.90,23.33,698.00,74.25,0.00,0.00,0.00,0.00,0.98,0.00,0.00,0.06,103.26,6262.25,21.04,0.00,26.03,2.84,121.00
639,19.88,-33.88,18.04,24.45,435.75,59.75,0.00,0.00,0.00,0.00,0.98,0.00,0.00,0.29,333.96,191.15,2220.03,0.00,17.58,12.23,31.00
640,20.13,-33.88,17.63,24.05,384.25,62.50,0.00,0.00,0.00,0.00,0.98,0.00,0.00,0.18,2429.30,3098.81,8928.95,0.00,1011.20,5.02,10.00
641,20.38,-33.88,17.69,24.78,346.75,61.25,0.00,0.00,0.00,0.00,0.98,0.00,0.00,0.05,3454.08,6833.35,474.31,0.00,1116.72,4.23,10.00
642,20.63,-33.88,16.59,24.42,344.00,66.75,0.00,0.00,0.00,0.00,0.98,0.00,0.00,0.00,829.69,2391.34,4562.21,0.00,3048.95,5.19,14.00
646,22.13,-33.88,13.38,18.80,479.50,94.50,0.00,0.00,0.00,0.00,0.88,0.00,0.00,0.10,2272.98,3926.53,622.93,0.00,37.87,3.10,39.00
647,22.38,-33.88,14.80,19.12,480.75,98.75,0.00,0.00,0.00,0.00,0.86,0.00,0.00,0.12,1113.81,3134.25,0.00,0.00,3006.46,22.73,23.00
648,22.63,-33.88,15.49,18.55,552.00,109.50,0.00,0.00,0.00,0.06,0.98,0.00,0.00,0.00,68.79,534.39,0.00,0.00,4531.79,1.31,18.00
650,23.13,-33.88,15.60,18.82,637.75,127.25,0.00,0.00,0.00,0.23,0.79,0.00,0.00,0.00,2516.50,0.00,0.00,0.00,133.80,2.50,10.00
651,23.38,-33.88,16.32,19.15,703.75,141.25,0.00,0.00,0.00,0.08,0.93,0.00,0.00,0.00,134.92,0.00,0.00,0.00,422.78,0.61,61.00
652,23.63,-33.88,14.76,18.52,676.75,128.50,0.00,0.00,0.00,0.11,0.87,0.00,0.00,0.00,144.83,380.94,0.00,0.00,368.80,0.61,276.00
653,23.88,-33.88,14.55,19.72,662.50,127.75,0.00,0.00,0.00,0.04,0.97,0.00,0.00,0.00,1029.84,21.36,5466.49,0.00,168.87,3.08,241.00
654,24.13,-33.88,15.79,20.38,664.00,131.25,0.00,0.00,0.00,0.01,0.98,0.00,0.00,0.00,1057.63,1005.30,6453.73,0.00,408.61,0.66,66.00
655,24.38,-33.88,16.47,21.25,658.00,134.00,0.01,0.00,0.00,0.00,0.98,0.00,0.00,0.00,325.76,3966.47,6177.12,0.00,730.88,1.23,18.00
656,24.88,-33.88,18.05,20.53,603.75,130.50,0.45,0.00,0.00,0.00,0.57,0.00,0.00,0.00,4037.51,0.00,8835.49,0.00,1828.93,8.52,28.00
657,25.13,-33.88,17.29,19.50,570.50,118.25,0.29,0.00,0.00,0.00,0.54,0.00,0.00,0.00,0.00,0.00,1987.60,474.85,65.02,4.21,58.00
660,18.38,-34.13,16.70,14.78,538.75,47.00,0.00,0.00,0.00,0.00,0.44,0.00,0.00,0.00,87.59,102.82,0.00,7470.12,0.00,8087.67,51.00
662,18.88,-34.13,17.22,18.55,697.00,62.50,0.00,0.00,0.00,0.00,0.76,0.00,0.00,0.00,167.72,823.51,5480.46,157.55,407.69,1853.83,51.00
663,19.13,-34.13,13.49,19.40,759.75,93.50,0.00,0.00,0.00,0.00,0.98,0.00,0.00,0.00,3274.97,5640.83,1036.63,0.00,24.23,15.39,56.00
664,19.38,-34.13,15.66,21.48,724.75,86.75,0.00,0.00,0.00,0.00,0.98,0.00,0.00,0.00,166.71,2186.51,1691.70,0.00,109.57,6.24,27.00
665,19.63,-34.13,16.46,22.60,586.00,80.75,0.00,0.00,0.00,0.00,0.98,0.00,0.00,0.00,43.67,7868.10,5839.87,0.00,19.54,2.46,13.00
666,19.88,-34.13,16.38,22.25,494.00,75.50,0.00,0.00,0.00,0.00,0.98,0.00,0.00,0.00,926.49,1631.21,13531.89,0.00,17.58,2.79,15.00
668,20.38,-34.13,18.41,23.53,394.25,70.00,0.00,0.00,0.00,0.00,0.98,0.00,0.00,0.00,22370.02,1024.39,222.87,0.00,586.34,5.29,105.00
669,20.88,-34.13,17.91,23.13,408.75,82.25,0.00,0.00,0.00,0.00,0.98,0.00,0.00,0.00,1688.78,1254.90,0.00,0.00,0.00,2.44,16.00
679,24.63,-34.13,17.05,17.32,739.00,154.00,0.00,0.00,0.00,0.00,0.73,0.00,0.00,0.00,0.00,9069.76,786.49,0.00,317.27,4.72,24.00
684,19.13,-34.38,16.57,14.95,642.50,67.00,0.00,0.00,0.00,0.00,0.57,0.00,0.00,0.00,271.21,3304.04,3765.35,0.00,24.23,466.55,23.00
689,21.38,-34.38,17.21,18.82,462.50,93.00,0.00,0.00,0.00,0.00,0.63,0.00,0.00,0.00,844.11,339.02,4512.34,0.00,1156.83,34.71,10.00
691,20.13,-34.63,17.45,18.42,455.00,71.75,0.00,0.00,0.00,0.00,0.85,0.00,0.00,0.00,20565.63,13891.59,0.00,0.00,5851.65,0.59,13.00
